 2017-05-11 15:12:58,907 [P9540/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.11 application starting on HARSHWARDHAN
 2017-05-11 15:12:59,085 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-05-11 15:12:59,240 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 154ms)
 2017-05-11 15:12:59,854 [P9540/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-05-11 15:12:59,862 [P9540/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-05-11 15:12:59,899 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-05-11 15:13:02,750 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 2851ms)
 2017-05-11 15:13:02,908 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-05-11 15:13:02,956 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 48ms)
 2017-05-11 15:13:02,959 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-05-11 15:13:03,021 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 61ms)
 2017-05-11 15:13:03,090 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-05-11 15:13:03,131 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 40ms)
 2017-05-11 15:13:03,136 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-05-11 15:13:03,196 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 60ms)
 2017-05-11 15:13:03,536 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-05-11 15:13:03,586 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 48ms)
 2017-05-11 15:13:03,588 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-05-11 15:13:03,650 [P9540/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 62ms)
 2017-05-11 15:13:10,908 [P9540/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-05-11 15:13:13,196 [P9540/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-05-11 15:13:13,266 [P9540/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-05-11 15:13:13,829 [P9540/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-05-11 15:13:14,134 [P9540/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 15772ms)
 2017-05-11 15:13:16,187 [P9540/D2/T8] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:49523/umbraco (UmbracoModule request)
 2017-05-11 15:13:16,287 [P9540/D2/T7] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:49523/umbraco (UmbracoModule request)
 2017-05-11 15:13:17,496 [P9540/D2/T8] INFO  umbraco.content - Load Xml from file...
 2017-05-11 15:13:17,545 [P9540/D2/T8] INFO  umbraco.content - Loaded Xml from file.
 2017-05-11 15:13:21,735 [P9540/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-05-11 15:13:21,828 [P9540/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 93ms)
 2017-05-11 15:14:18,333 [P9540/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-05-10 15:14:17
 2017-05-11 15:14:19,287 [P9540/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-05-11 15:14:19,389 [P9540/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 103ms)
 2017-05-11 15:15:21,961 [P9540/D2/T8] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-05-11 15:17:21,876 [P9540/D2/T23] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-05-11 15:27:48,194 [P9540/D2/T8] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
